curr_state	curr_action	next_reward	next_state
1920	-1	0	1927
1927	0	0	1927
1927	0	0	1927
1927	1	0	1920
1920	0	0	1920
1920	1	0	1921
1921	-1	0	1928
1928	0	0	1928
1928	1	0	1929
1929	1	0	1938
1938	0	0	1946
1946	0	0	1954
1954	1	0	1963
1963	1	0	1844
1844	-1	0	1715
1715	-1	0	1594
1594	0	0	1602
1602	1	0	1611
1611	1	0	1492
1492	-1	0	1363
1363	1	0	1244
1244	1	0	1117
1117	-1	0	980
980	0	0	852
852	1	0	725
725	0	0	589
589	-1	0	452
452	-1	0	323
323	-1	0	202
202	-1	0	209
209	-1	0	344
344	1	0	473
