state	action
3	-1
4	1
5	-1
6	0
7	0
10	0
11	0
12	1
13	-1
14	0
15	0
17	-1
18	-1
19	1
20	0
21	1
22	-1
23	1
25	0
26	1
27	-1
28	0
29	0
30	-1
31	-1
33	-1
34	-1
35	-1
36	0
37	-1
38	0
39	0
41	1
42	0
43	-1
44	0
45	0
46	1
47	0
49	1
50	-1
51	-1
52	-1
53	-1
54	0
55	-1
57	1
58	-1
59	1
60	-1
61	-1
62	1
63	-1
65	-1
66	-1
67	-1
68	-1
69	-1
70	1
71	-1
73	0
74	-1
75	0
76	1
77	0
78	0
79	1
81	-1
82	0
83	0
84	1
85	1
86	0
87	1
89	0
90	-1
91	-1
92	1
93	-1
94	0
95	0
97	-1
98	0
99	-1
100	1
101	-1
102	-1
103	1
105	-1
106	-1
107	0
108	-1
109	0
110	0
111	1
113	0
114	1
115	0
116	-1
117	-1
118	-1
119	-1
121	-1
122	1
123	0
124	0
125	0
126	1
128	-1
131	-1
132	-1
133	-1
134	1
135	1
136	0
138	0
139	1
140	-1
141	-1
142	0
143	1
144	1
145	-1
147	-1
148	-1
149	1
150	-1
151	1
152	1
153	1
154	-1
155	0
156	0
157	0
158	-1
159	1
160	1
161	1
162	1
163	1
164	1
165	-1
166	1
167	-1
168	-1
169	0
170	1
171	-1
172	1
173	1
174	0
175	1
176	-1
177	-1
178	1
179	-1
180	1
181	0
182	1
183	-1
184	1
185	-1
186	-1
187	0
188	1
189	-1
190	-1
191	1
192	-1
193	0
194	1
195	-1
196	1
197	0
198	1
199	-1
200	-1
201	1
202	0
203	0
204	-1
205	0
206	-1
207	1
208	0
209	1
210	1
211	1
212	-1
213	0
214	0
215	0
216	-1
217	1
218	-1
219	1
220	0
221	1
222	1
223	0
224	1
225	1
226	-1
227	1
228	-1
229	-1
230	1
231	-1
232	-1
233	1
234	1
235	-1
236	0
237	-1
238	0
239	0
240	-1
241	0
242	1
243	0
244	1
245	0
246	0
248	1
249	-1
250	0
251	1
252	0
253	0
256	-1
257	0
259	1
260	1
261	-1
262	-1
263	1
264	0
265	-1
266	0
267	0
268	0
269	-1
270	0
271	-1
272	1
273	-1
274	0
275	-1
276	1
277	1
278	0
279	1
280	0
281	0
282	1
283	0
284	-1
285	1
286	-1
287	0
288	0
289	1
290	0
291	-1
292	1
293	1
294	1
295	1
296	-1
297	0
298	-1
299	0
300	0
301	-1
302	1
303	1
304	-1
305	-1
306	0
307	0
308	-1
309	-1
310	-1
311	1
312	1
313	-1
314	0
315	0
316	1
317	1
318	0
319	0
320	1
321	-1
322	-1
323	0
324	1
325	0
326	0
327	-1
328	-1
329	1
330	0
331	0
332	-1
333	-1
334	0
335	-1
336	-1
337	-1
338	0
339	1
340	-1
341	0
342	0
343	1
344	1
345	0
346	0
347	0
348	0
349	-1
350	-1
351	1
352	0
353	-1
354	0
355	-1
356	0
357	1
358	0
359	1
360	-1
361	0
362	0
363	0
364	1
365	1
366	0
367	1
368	1
369	1
370	-1
371	0
372	-1
373	-1
374	1
375	0
376	1
377	1
